,Date,StockCode,Quantity
0,2009-12-01,15036,55.0
1,2009-12-02,15036,0.0
2,2009-12-03,15036,240.0
3,2009-12-04,15036,12.0
4,2009-12-05,15036,12.0
5,2009-12-06,15036,0.0
6,2009-12-07,15036,60.0
7,2009-12-08,15036,24.0
8,2009-12-09,15036,0.0
9,2009-12-10,15036,0.0
10,2009-12-11,15036,0.0
11,2009-12-12,15036,0.0
12,2009-12-13,15036,0.0
13,2009-12-14,15036,36.0
14,2009-12-15,15036,0.0
15,2009-12-16,15036,0.0
16,2009-12-17,15036,0.0
17,2009-12-18,15036,0.0
18,2009-12-19,15036,0.0
19,2009-12-20,15036,0.0
20,2009-12-21,15036,0.0
21,2009-12-22,15036,96.0
22,2009-12-23,15036,0.0
23,2009-12-24,15036,0.0
24,2009-12-25,15036,0.0
25,2009-12-26,15036,0.0
26,2009-12-27,15036,0.0
27,2009-12-28,15036,0.0
28,2009-12-29,15036,0.0
29,2009-12-30,15036,0.0
30,2009-12-31,15036,0.0
31,2010-01-01,15036,0.0
32,2010-01-02,15036,0.0
33,2010-01-03,15036,0.0
34,2010-01-04,15036,12.0
35,2010-01-05,15036,0.0
36,2010-01-06,15036,0.0
37,2010-01-07,15036,36.0
38,2010-01-08,15036,144.0
39,2010-01-09,15036,0.0
40,2010-01-10,15036,0.0
41,2010-01-11,15036,0.0
42,2010-01-12,15036,0.0
43,2010-01-13,15036,0.0
44,2010-01-14,15036,12.0
45,2010-01-15,15036,0.0
46,2010-01-16,15036,0.0
47,2010-01-17,15036,0.0
48,2010-01-18,15036,0.0
49,2010-01-19,15036,48.0
50,2010-01-20,15036,24.0
51,2010-01-21,15036,0.0
52,2010-01-22,15036,0.0
53,2010-01-23,15036,0.0
54,2010-01-24,15036,36.0
55,2010-01-25,15036,0.0
56,2010-01-26,15036,12.0
57,2010-01-27,15036,12.0
58,2010-01-28,15036,0.0
59,2010-01-29,15036,24.0
60,2010-01-30,15036,0.0
61,2010-01-31,15036,0.0
62,2010-02-01,15036,12.0
63,2010-02-02,15036,0.0
64,2010-02-03,15036,0.0
65,2010-02-04,15036,0.0
66,2010-02-05,15036,24.0
67,2010-02-06,15036,0.0
68,2010-02-07,15036,0.0
69,2010-02-08,15036,48.0
70,2010-02-09,15036,0.0
71,2010-02-10,15036,0.0
72,2010-02-11,15036,0.0
73,2010-02-12,15036,48.0
74,2010-02-13,15036,0.0
75,2010-02-14,15036,0.0
76,2010-02-15,15036,24.0
77,2010-02-16,15036,60.0
78,2010-02-17,15036,24.0
79,2010-02-18,15036,96.0
80,2010-02-19,15036,0.0
81,2010-02-20,15036,0.0
82,2010-02-21,15036,0.0
83,2010-02-22,15036,24.0
84,2010-02-23,15036,0.0
85,2010-02-24,15036,12.0
86,2010-02-25,15036,60.0
87,2010-02-26,15036,1.0
88,2010-02-27,15036,0.0
89,2010-02-28,15036,0.0
90,2010-03-01,15036,96.0
91,2010-03-02,15036,0.0
92,2010-03-03,15036,0.0
93,2010-03-04,15036,36.0
94,2010-03-05,15036,0.0
95,2010-03-06,15036,0.0
96,2010-03-07,15036,0.0
97,2010-03-08,15036,12.0
98,2010-03-09,15036,0.0
99,2010-03-10,15036,72.0
100,2010-03-11,15036,0.0
101,2010-03-12,15036,0.0
102,2010-03-13,15036,0.0
103,2010-03-14,15036,0.0
104,2010-03-15,15036,24.0
105,2010-03-16,15036,72.0
106,2010-03-17,15036,24.0
107,2010-03-18,15036,24.0
108,2010-03-19,15036,244.1999999999996
109,2010-03-20,15036,0.0
110,2010-03-21,15036,0.0
111,2010-03-22,15036,0.0
112,2010-03-23,15036,9.0
113,2010-03-24,15036,0.0
114,2010-03-25,15036,10.0
115,2010-03-26,15036,60.0
116,2010-03-27,15036,0.0
117,2010-03-28,15036,36.0
118,2010-03-29,15036,24.0
119,2010-03-30,15036,120.0
120,2010-03-31,15036,12.0
121,2010-04-01,15036,244.1999999999996
122,2010-04-02,15036,0.0
123,2010-04-03,15036,0.0
124,2010-04-04,15036,0.0
125,2010-04-05,15036,0.0
126,2010-04-06,15036,12.0
127,2010-04-07,15036,12.0
128,2010-04-08,15036,120.0
129,2010-04-09,15036,0.0
130,2010-04-10,15036,0.0
131,2010-04-11,15036,84.0
132,2010-04-12,15036,0.0
133,2010-04-13,15036,0.0
134,2010-04-14,15036,12.0
135,2010-04-15,15036,60.0
136,2010-04-16,15036,0.0
137,2010-04-17,15036,0.0
138,2010-04-18,15036,24.0
139,2010-04-19,15036,36.0
140,2010-04-20,15036,12.0
141,2010-04-21,15036,36.0
142,2010-04-22,15036,60.0
143,2010-04-23,15036,12.0
144,2010-04-24,15036,0.0
