Elasticity,ElasticityStatus,NumObservations,NumUniquePrices,R2,PValue,StockCode,ElasticityFinal,ElasticityFlag
-3.6490996510165132,estimated,207,82,0.5543065998114989,8.185696918043575e-20,15036,-3.6490996510165132,ok
-15.947926756794136,estimated,42,3,0.7687964998720855,2.4799312408432053e-07,16014,-5.0,ok
-5.445324793977473,estimated,153,29,0.5655057219163973,1.4779519360898213e-44,17003,-5.0,ok
-1.4733456134000094,estimated,288,131,0.18514931516790079,1.0,20724,-1.4733456134000094,ok
-1.620311276810391,estimated,304,153,0.20795960192776175,0.0021167604894961802,20725,-1.620311276810391,ok
-2.973798509404884,estimated,295,106,0.283836306261804,5.20072087933779e-11,20727,-2.973798509404884,ok
-3.4587138129158452,estimated,300,138,0.3949569326658976,3.4154604315554464e-11,21080,-3.4587138129158452,ok
-3.042382683077922,estimated,31,6,0.9174818803176834,6.905266699116795e-06,21088,-3.042382683077922,ok
-2.2877307155068416,estimated,34,7,0.8821797916098766,0.009455408975713722,21096,-2.2877307155068416,ok
-2.2920972610938772,estimated,304,208,0.27142695865427935,1.288175888698079e-05,21212,-2.2920972610938772,ok
-2.534622366695035,estimated,279,113,0.34047678908701595,2.5595062056660334e-12,21213,-2.534622366695035,ok
-2.4638046468335744,estimated,303,191,0.27940343109244636,9.527040057909481e-08,21232,-2.4638046468335744,ok
-9.395833395339196,estimated,239,10,0.3860262201381811,1.6330857594752924e-43,21498,-5.0,ok
-3.02192565831049,estimated,261,101,0.3496684224258526,5.796508954124537e-15,21731,-3.02192565831049,ok
-6.1400550668128115,estimated,171,32,0.41715073707387174,3.629079855644104e-13,21915,-5.0,ok
-3.717817419785511,estimated,259,98,0.3382361146033819,5.9841896489193875e-15,21928,-3.717817419785511,ok
-3.6762987054886764,estimated,252,107,0.40169971763970247,5.983656945612442e-21,21929,-3.6762987054886764,ok
-2.7745818186506535,estimated,298,134,0.2744030907800361,6.142429518307978e-07,21931,-2.7745818186506535,ok
-4.564150370694156,estimated,271,69,0.5199677520931796,1.1678157734408786e-65,21975,-4.564150370694156,ok
-3.2025501387033715,estimated,296,142,0.44631935026638103,1.1365155423963222e-13,21977,-3.2025501387033715,ok
-3.461116316691279,estimated,214,36,0.5099462675072536,5.428195826125575e-67,21980,-3.461116316691279,ok
-3.013162820658852,estimated,161,38,0.5643980166820977,4.570854689326991e-57,21981,-3.013162820658852,ok
-2.5348436787253945,estimated,177,57,0.4060153785554709,3.8625030646705543e-16,21982,-2.5348436787253945,ok
-3.112303326283035,estimated,159,22,0.41320141539832766,4.526809769316892e-43,21984,-3.112303326283035,ok
-2.4417634354793183,estimated,233,62,0.43171587135654155,9.207672740853404e-25,21985,-2.4417634354793183,ok
-2.522133521589818,estimated,153,92,0.6715540246137026,7.830655540334382e-06,22086,-2.522133521589818,ok
-2.2467887662784918,estimated,277,97,0.34863541623407035,1.40501956480935e-13,22178,-2.2467887662784918,ok
-3.0067226571784453,estimated,277,141,0.34578615326268536,2.064312446909361e-06,22197,-3.0067226571784453,ok
-0.8397254360323947,estimated,278,127,0.1816377202777889,0.05117446239078927,22355,-0.8397254360323947,ok
-3.165862438727357,estimated,257,117,0.32988539046809373,2.3929054868752473e-05,22386,-3.165862438727357,ok
-2.4338750042034554,estimated,261,102,0.2088068612254177,0.00010374459850596603,22411,-2.4338750042034554,ok
-4.032177360172923,estimated,160,27,0.6037541182807505,1.4820300328019731e-36,22492,-4.032177360172923,ok
-0.9215034297151156,estimated,72,53,0.2756080599198898,0.20154290229540306,22952,-0.9215034297151156,ok
-2.0285873766205915,estimated,232,66,0.44634941179988985,6.423260574134744e-18,71459,-2.0285873766205915,ok
-5.663033045839118,estimated,242,40,0.3725094839108475,2.001436378665537e-14,84077,-5.0,ok
-2.5947952597257657,estimated,120,18,0.48593169006796955,0.002824150028236051,84212,-2.5947952597257657,ok
-4.014376299723748,estimated,215,37,0.5038237435287275,1.443369803037507e-23,84270,-4.014376299723748,ok
-2.48712054727171,estimated,124,56,0.46273007375867736,9.348157534308612e-06,84347,-2.48712054727171,ok
-5.078328937397477,estimated,119,18,0.8753302536852978,1.0279380500198372e-111,84568,-5.0,ok
-5.490631937141175,estimated,98,13,0.8392218581078279,5.118966734198343e-91,84598,-5.0,ok
-1.7953227579237048,estimated,248,69,0.5078958333693682,1.8997124759769435e-26,84755,-1.7953227579237048,ok
-1.6244647407293207,estimated,290,105,0.336856878117599,0.0035623152167658196,84879,-1.6244647407293207,ok
-2.48957157773744,estimated,272,125,0.5152049537184971,8.612786030400143e-17,84946,-2.48957157773744,ok
-3.164126354848327,estimated,284,89,0.49933573948348675,9.217827447919569e-55,84970S,-3.164126354848327,ok
-4.892586280756514,estimated,300,147,0.5855281489686449,1.9191873664709098e-116,84991,-4.892586280756514,ok
-3.1762202198495633,estimated,279,109,0.4066426906941536,6.139593050598368e-16,84992,-3.1762202198495633,ok
-5.85218035562354,estimated,297,202,0.5330283927067683,4.0742094312778137e-10,85099B,-5.0,ok
-2.9552556620780024,estimated,282,114,0.1990221483692226,1.5358552219746296e-07,85099C,-2.9552556620780024,ok
-4.668153597477106,estimated,294,119,0.42690700330954556,1.0,85099F,-4.668153597477106,ok
-5.8624469229172975,estimated,306,278,0.4128352344864681,3.0673243349292686e-06,85123A,-5.0,ok
